key,value
screenshots,"['https://play-lh.googleusercontent.com/mAzDaxZgoknrjq3J-kabDSt4YY_HsfUvz0F8hQqoNhbtUS835WdoqXAVNvSOZOJNVUI', 'https://play-lh.googleusercontent.com/VtsWChelrgd3cvSnnxe488QM6iaTpq3hbClNL2uBgo7aQm1Dx4-R8gfCoAqs2IcwAww', 'https://play-lh.googleusercontent.com/lmTyHvYp0J4j0oWI7z2YuTMItA37H-lPOW4ieZiA960aOKnDvvH2bJfOnDWwjeOIqUw', 'https://play-lh.googleusercontent.com/-OoE4LsJ0bVVbhlD2BwysogIzokKoJpMRrh6ZMtGr1rtdKf5-Zsc4BdcF-wZ6JUp6Oc', 'https://play-lh.googleusercontent.com/61HBI4p28ZgQkk33Gl5MEvhH41MQ96h6pR7XdvingjxPYEtlzzNVA_OSWqW4NOUYeTE', 'https://play-lh.googleusercontent.com/rnXeXmWiYquIZhVNamchxSELwKhwwdWMub5woeH23t5vvbdKM-ybjNRkUBh4bM4_xbE', 'https://play-lh.googleusercontent.com/NA2azn89R68Sv5HzsgXYZdr-_e_OSc5STFTD6fbFlPPJeBsXy4L3bmRcYWa-ehtNoI8', 'https://play-lh.googleusercontent.com/1LH4zblva1-Fb89_eFhVYHX6PlIvBBVLrJv8iufkCHpUALxlH4YLGLA3HA1MNTuBMg', 'https://play-lh.googleusercontent.com/T-YSa-FpS0Nl3CqbPk4ceopfv4EURg300sd4YRmIsw_uVHvtmGSNeMGgQ52eGMj3kw', 'https://play-lh.googleusercontent.com/4Nml5FTAIgxRhEX7KiBLbswjnZICsQifKLInMVRioIZgo904cKvTwhtZO1hmKdjo9g', 'https://play-lh.googleusercontent.com/vf48CfKvGazP5IwLwunde8nQ7MTCHIwsVQuGk-wgbz3gDWO7ioX74boxKTWMpvKSMio', 'https://play-lh.googleusercontent.com/UDCCjAlFZ1tW8eOSUE0aRJlRG9ufah3tI7mjAiBrkj3eDI3mURTYdqW846HcEysPcPMe']"
video,
videoImage,
contentRating,Rating 12+
contentRatingDescription,Disarankan dengan Bimbingan Orang Tua
adSupported,False
containsAds,False
released,7 Mei 2017
updated,1700533631
version,
comments,"['aplikasinya bagus cuman ya banyak bug nya apalagi fitur slide foto yang kadang sering hilang atau tidak bisa digunakan karena langsung slide otomatis jadi mohon untuk di perbaiki SECEPATNYA,karena aing mau buat au udah ngebuat AU nya malah fitur slide foto nya nge slide otomatis gustiii capek,udah liat tutorial di YouTube tiktok dll tapi tetep gak bisa di gunain,jadi mohon ya tok SEGERA DI PERBAIKI untuk bug atau apalah itu SEKIAN TERIMAKSIH', 'Di mohon kepada developer untuk membuat fitur hapus semua simpanan karena menghapus persatu-satu melelahkan sebab terlalu banyak di simpan bahkan video yang terhapus oleh tiktok tidak ikut menghilang itu sangat menyusahkan. Dan tambah fitur untuk mencari video yang pertama kali di simpan untuk di lihat lagi sebab mencari persatu-satu video sangat lama. Terima kasih atas kerjasamanya semoga pengembangan ini terwujud kan secepatnya.', 'Ini tiktok kenapa sih semakin di update makin berat aplikasinya,baru masuk ke aplikasi nya lama banget malah nge stuck dilogo?aplikasinya menyebabkan lag,stuck dilogo,force close,kadang suka log out sendiri?tolong diperbaiki!!!!!!!!!!!!!', 'Dasar aplikasi sampah gimana sih video yang dicari kadang tidak ada video yang di like suka ada yang hilang kadang video audio atau efek ""tidak tersedia"" kadang kalau lihat foto tidak ada gambarnya hanya hitam dan logonya saja videonya sering ngelag dan keterangan ""jaringan anda tidak stabil"" padahal internet bagus juga sering keluar sendiri dari aplikasi sering ngebug juga kalau gini terus ku kasih ⭐ 1 dah', 'Banyak bug yang terjadi, mulai dari video yang sering ngeframe sendiri,sering tiba2 keluar aplikasi sendiri,sering komennya pada hilang,gak bisa ngelike, jaringan yang tiba2 ngelag,tapi pas di buka aplikasi lain lancar. Tolong dong tiktok di perbaiki lagi, kami ingin tiktok yang dulu,bukannya di upgrade malah banyak bug.. Terima kasih', 'Konten video sama diposting dua kali dengan perbedaannya menghilangkan sekian detik bagian depan video. Tetapi hasilnya satu bisa tayang satu dihapus kok bisa gitu? Videonya sama Lo, yg full bisa tayang, yg diedit dihilangkan sebagian dihapus??? Aneh banget, min yg ngecek video lagi ada masalah apa sih????? Bukti screenshot sudah saya kirim via apps', 'Tiktok merupakan salah satu Plato from pemutar video terbaik saat ini, simpel dan sangat mudah ketika digunakan ya, yang lebih menarik lagi dari aplikasi ini karena selain sebagai penikmat video nya, kita juga bisa menjadi konten,kreator diaplikasi ini. Caranya juga sangat mudah dan gampang banget dimana kita bisa mendapatkan koin yang banyak dengan membuat video sebagus mungkin untuk ditonton oleh banyak orang.', 'plis lah ya tok tok tiktok, ni aku udah hapus tiktok terus download lagi tujuannya biar ga lag terus, ehh tetep aja lag, perbaikin dong, kalo mau rating bagus baca komentar dong, tujuan diadain komentar tu buat koreksi kalo ada apa², minimal tu dibaca, banyak banget yang ngeluh kalo tiktok lag tapi masi ga digubris, RAM masi banyak, aplikasi lain padahal ga lag² gini kaya tiktok, berarti ini problem dari sananya, tolong diperbaiki dong jangan cuma diem aja.', 'Maaf, tolong perbaiki bug dari tiktok, yaitu sulit untuk buka aplikasinya, bahkan tidak bisa di pakai, harus di uninstal dulu trus download lagi baru bisa, tapi tetep kalo sudah beberapa hari bugnya terjadi lagi, tlong di perbaiki, demi kebaikan develover sama penguna, agar pihak develover tidak dapat rating rendah, dan pengguna tidak menyesal karna telah menghabiskan kuota internet, untuk download tiktok ini, itu saja terima kasih, + kalo bisa kirim vidio, saya punya buktibukti bugnya', 'Dear tiktok, saya sebagai pengguna tiktok sangat terbantu dalam memahami dunia konten digital yang sedang tren dan hangat diperbincangkan, namun untuk kualitas dari performa aplikasinya kadang tidak sesuai dengan yang diharapkan,padahal sudah diupdate 1 minggu lalu tetapi ketika masuk livestreaming orang sering ngebug dan terkeluar sendiri dari aplikasinya. Saya harap untuk bisa dioptimalkan lagi kedepannya. Terimakasih.', 'Setelah update beberapa waktu yang lalu, TikTok semakin berat untuk di jalankan. Hp saya RAM tersisan 3.6gb, belum juga masuk ke aplikasi TikTok, TikTok ini sudah menggunakan 3gb lebih RAM saya. Itupun aplikasinya belum terbuka/bisa saya gunakan. Jadi tolong diperbaiki, sekiranya ada sesuatu yang tidak perlu/tidak penting"" banget ada di TikTok, sebiaknya dihilangkan saja.', 'Ketika melihat postingan orang lain foto sering hitam (foto tidak terlihat hanya gambar hitam saja dengan lambang tiktok)... Aplikasi kadang keluar sendiri.. banyak bug.. konten-konten banyak yang tidak bermanfaat..', 'TOLONG DI PERBAIKI DAN D PERHATIKAN . Akhir2 ini tiktok sering update. Juga kadang error .g bisa kebuka lah. Cuma muncul logo kadang tidak menanggapi hal tersebut mempengaruhi aplikasi lain jadi ngeleg. Ngebug. Patah2 lelet ,sudah banyak yg mengeluh jadi mohon buat management tiktok tolong di tindak lanjuti', 'Fitur ""search"" di filter hilang, mode foto juga hilang, terus beberapa filter ga bisa dipake. Pokoknya banyak jeleknya setelah di-update, seharusnya makin bagus ini malah makin down', 'fitur unggah Stories sering hilang. Muncul hanya ketika memulai kembali dari awal, seperti misalnya hapus cache dan memory, juga setelah meng-instal ulang aplikasi. Tolong perbaiki fitur storie yang sering tidak dapat digunakan tersebut demi kenyamanan pengguna dan variasi pengunggahan konten', 'Saya pernah hampir gabisa buka tiktok lagi dan harus di download secara 10X dan akhirnya sekarang sudah bisa, mohon di perbaiki lagi juga sering ngelag gitu saat buka tik tok, dan ini yg paling penting..... Tolong hapus video tiktok yg berbau 18+ saya sangat sensitif pada video seperti itu. Mohon di perbaiki ya 👍', 'Tiktok skrng , smakin di upgrade smakin menurun kualitas aplikasi nya . Sring nge bug , aplagi pas di awal buka aplikasi ! Sngt memakan waktu utk mengklik opsi apapun di dlm nya. Pdhal ram masih banyak . Kdng kalau mau buka Tiktok, cuma stuck di logo nya aja , yg mengharuskan uninstall trus di download lagi . Tolong dibantu kualitas aplikasi nya , supaya pengguna nyaman . Terimakasih', 'Tiktok sekarang terasa beda banget sama yang dulu,kenapa jadi beda?,karna sering terjadi bug dan ngedownload nya lama banget,kadang pas udah mau selesai main tiktok pasti ngeleg kalo mau keluar dari aplikasinya. Jadi mohon diperbaiki,sekian terimakasih😁🙏', 'Setelah beberapa update,aplikasi ini sangat berat untuk hp yg speknya di bawah rata2,sama sekali tidak merakyat,stiap kali buka slalu penuh dengan bug,dan salalu kluar sendiri,padahal jaringan kuat,tolong segera di perbaiki.jngan sampe performanya menurun karna banyak keluhan2 dari pengguna aplikasi ini..', 'tiktok sekarang suka bug di aku, video hilang lah (hitam/ ga keputar) keluar sendiri dari app, kadang juga sering loading lama padahal signal bagus. semoga kedepannya lebih nyaman lagi buat di gunain yaa.. soalnya hiburan buat aku yang sering kugunain cuma tiktok:((', 'Tolong tingkatkan lagi kapasitasnya, setelah saya update bukannya makin bagus dan makin enak di gunakan malah makin ngelag, membuat HP cepat panas, boros batre, dan terlebih lagi gak bisa di buka tiktok nya. Setelah membuka tiktok ngelag nya sampai ke aplikasi lain juga, seperti mengandung virus', 'Sebenernya apk nya bagus, banyak hal positif yang bisa aku tiru dan hal baru yg bisa aku coba tapi menurutku apk nya rumayan berat. Saat aku scrool tiktok kadang terjadi bug apalagi saat aku ingin post foto/video ngelag parah si. Mungkin untuk developer bisa diperbaiki lagi. Terimakasih 🙏🏻🙏🏻', 'Setelah di upgrade kenapa kalo mau di buka sering lama munculnya terus kalo mau scroll ke bawah²nya lagi suka susah tiba² lag sering keluar sendiri aplikasinya padahal ram masii banyakk lebih enak di pakai yg dulu. Tolong dong di perbaiki aplikasinya di upgrade bukanya semakin baik semakin meningkat tapi malah semakin menurun ini 🙏🏻', 'gajelas,kalo mau buka apl nya suka susah ngebug Mulu,udh gtu fitur repost kadang"" muncul,kadang"" ilang. pokoknya tik tok dri pertengahan bulan September sampe akhir"" ini ngebug Mulu, jdi pengen uninstall aja bawaan nya!!! udh gtu kalo belum update gabisa buka apl !!!😡😡😡😡', 'Saya kecewa sama ini aplikasi. Setiap posting vidio ke tik tok pasti blur/buruk, padahal vidio aslinya sudah sangat stabil/HD, tapi kenapa setiap di post ke tik tok jadi blur/buruk. Tolong kerjasamanya di perbaiki terimakasih🙏', 'Tiktok sekarang mengalami banyak bug seperti, video yang diputar sangat lambat dan tidak sesuai dengan suara videonya, membuat penonton tidak nyaman, terkadang aplikasi tidak dapt dibuka, tolong perbaiki bug ini!!', ""Tak kira tiktok'ku sendiri yang sering error' ternyata temen² jg banyak yang ngalamin, tiktok gak bisa disa , cuma terlihat logo tiktok saja, sudah di update tapi tetap saja sama, harus di download ulang, dan sudah berkali² terjadi,,tolong di perhatikan dan di perbaiki sistemnya, sebagai konten kreator hal ini membuat sangat tidak nyaman 🙏"", 'Tik tok skrg sering bgt bug jika dibuka yang menyebabkan hp sy jadi restart sendiri, pdhl kapasitas ram masih banyak, sehingga sy harus uninstall tik tok dan download ulang lgi. Tolong ya, ini menganggu sekali bagi pengguna. Bukannya malah baik setelah di upgrade tapi malah bikin jengkel. Mohon diperbaiki', 'subtitle terjemah di tiktok sekarang ilang, dan harus di aktifkan secara manual, honestly, para pengguna tiktok lebih suka tiktok yang subtitle terjemah-nya seperti dulu, jangan yang seperti sekarang, yang harus di aktifkan secara manual, walaupun itu simple cara aktifkan-nya, tapi itu ribet. please tiktok, jangan terlalu banyak update, kalau mau sekaligus saja, dari pada sedikit sedikit, malah kayak ribet banget.', 'Saya pengguna apk ini dari thn 2018. Abis upgrade, setelah buka apk tiktok hp jadi lemot, padahal hp RAM 6GB. Buka tiktok saja sampe 5,4 GB. Terus membuat apk yg lain jadi lemot juga. Hp nge-freeze sampe berjam2. Kirain hp-nya yg rusak ternyata aplikasinya yg makan ram sampe segitu parahnya 😖', 'Saya kira hp saya yang sudah usang tp ternyata banyak ulasan teman² mengalami hal yang sama, tiba² ngelag yang tadi nya ram nya sisa 2 gb an ketika buka tiktok langsung habis dan hp nge freeze. Terlalu banyak makan ram. Saya ketika ingin buka tiktok ngebela2in utk uninstall dlu baru download lg. Biar gak stuck di logo tiktok. Hmmm Tiktok ini sudah mendunia, jadi fikirkan lah baik2 apa saja yang ingin di upgrade. Jangan malah menjadi aplikasi yang berat yang tidak ramah di berbagai ponsel.', 'Kenapa setelah di update malah gak bisa di buka tiktok nya? Cuman logo nya doang yang muncul. Terus pasti hp langsung lag klo udh kyk gitu. Cape banget harus hapus download hapus download terus setiap mau nonton tiktok. Padahal memo masih cukup, ram nya juga masih ok, tapi selalu aja gini. 😔', 'Gak ada otomatis jeda saat vidio berulang berkali-kali. Itu bisa terjadi karena ketiduran atau lupa mematikan smart phone.... mohon ditambah fitur stop vidio dan mati layar otomatis saat gak ada pergerakan vidio / penggunaan aplikasi.', 'Kenapa tiktok sering nge update dirinya terus. Kayak, kemarin udh update sekarang update lagi. Mana susah di buka. Cuma gambar logo terus dari tadi. Kadang juga nge lag trs. Jaringan sinyal wifi sama seluler lancar padahal. Mohon untuk di perbaiki', 'Di upgrade makin jelek aja , flash buat foto ga sebagus dulu ,buat foto malam buriq banget flash selfienya ,tolong tik tok flash nya buat seperti biasanya yang terang benderang seperti itu. Saya jadi gabisa foto di tempat yang kurang bercahaya tempatnya , TOLONG TOLONG TOLONG BANGET TIK TOK', 'Tolong sediakan fitur Dark Mode untuk semua merk HP yang menggunakan sistem Android (paling nggak dari Android 10) baik dari HP yang Entry Level sampai High End. Karena saya sangat kecewa dengan pihak TikTok yang tidak menyediakan fitur Dark Mode yang begitu simple dan berguna bagi pengguna TikTok ketika sedang menggunakan aplikasi di tempat yang gelap tanpa cahaya.', 'Hello kenapa setelah updet malah susah tiktoknya,contohnya tampilan musik untuk di tambahkan di vidio sekarang ga bisa di sesuai in sama lihat vidionya,trus musik di favorit tidak muncul,tolong lah kebalika seperti 3.7.2. aja karena lebih gampang', 'Dasar aplikasi tidak berguna kalo saja kamu bisa benerin apk ini saya tidak akan beri ulasan seperti ini karna kenapa tiktok saya tidak bisa dibuka setelah di update hanya logo tiktok nya aja yg tertampil dan kadang layarnya hitam??!!, kalo tau bakal seperti ini saya tidak akan meng update nya😠🤬!! Mohon perbaruannya!!', 'Keluhannya: aplikasi tidak bisa berjalan seperti biasa untuk pengguna android ram 3. Saat dibuka hanya terdapat logo tik tok dan bersamaan dengan lag yang cukup parah saat keluar dari aplikasi sehingga perlu di restart berulangkali. Perilaku aplikasi seperti virus yang membuat pengguna merasa takut. Jadi tolong di perbaiki segera agar pengguna lebih nyaman dan membuat aplikasi tik tok kembali ramai. Saya tahu CEO/pegawai lainnya tik tok pasti bisa.l mengatasi ini. TERIMA KASIH', 'Tik tok ini kenapa ya makin di perbarui makin lelet, jaringan bagus tapi ketika mau buat video atau live masa keluar tiba tiba dan itu berkali2 terjadi padahal sudah di refresh dan dikeluarin tapi terjadi lagi, keluar sendiri, macet pulak, padahal biasanya gak gitu, jadinya kecewa sekian.']"
appId,com.ss.android.ugc.trill
url,https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill&hl=id&gl=id
time,2023-11-21 20:14:07.719930
