userName,score,at,content,clean_teks,polarity_score,polarity
Jefry Agustinus Alexander,1,2023-10-29 00:13:20,"fitur unggah Stories sering hilang. Muncul hanya ketika memulai kembali dari awal, seperti misalnya hapus cache dan memory, juga setelah meng-instal ulang aplikasi. Tolong perbaiki fitur storie yang sering tidak dapat digunakan tersebut demi kenyamanan pengguna dan variasi pengunggahan konten","['fitur', 'unggah', 'stories', 'hilang', 'muncul', 'hapus', 'cache', 'memory', 'menginstal', 'ulang', 'aplikasi', 'tolong', 'baik', 'fitur', 'storie', 'nyaman', 'guna', 'variasi', 'unggah', 'konten']",-5,negative
Aldila Acha,4,2023-11-18 20:39:48,"Saya pernah hampir gabisa buka tiktok lagi dan harus di download secara 10X dan akhirnya sekarang sudah bisa, mohon di perbaiki lagi juga sering ngelag gitu saat buka tik tok, dan ini yg paling penting..... Tolong hapus video tiktok yg berbau 18+ saya sangat sensitif pada video seperti itu. Mohon di perbaiki ya 👍","['tidak bisa', 'buka', 'tiktok', 'unduh', 'x', 'mohon', 'baik', 'lelet', 'gitu', 'buka', 'tik', 'tok', 'tolong', 'hapus', 'video', 'tiktok', 'bau', 'sensitif', 'video', 'mohon', 'baik', 'iya', '']",-4,negative
yuni astika,1,2023-10-29 03:30:46,"Tiktok skrng , smakin di upgrade smakin menurun kualitas aplikasi nya . Sring nge bug , aplagi pas di awal buka aplikasi ! Sngt memakan waktu utk mengklik opsi apapun di dlm nya. Pdhal ram masih banyak . Kdng kalau mau buka Tiktok, cuma stuck di logo nya aja , yg mengharuskan uninstall trus di download lagi . Tolong dibantu kualitas aplikasi nya , supaya pengguna nyaman . Terimakasih","['tiktok', 'sekarang', 'semakin', 'meningkatkan', 'semakin', 'turun', 'kualitas', 'aplikasi', 'sring', 'nge', 'bug', 'aplagi', 'pas', 'buka', 'aplikasi', 'sangat', 'makan', 'untuk', 'klik', 'opsi', 'apa', 'dlm', 'padahal', 'ram', 'kdng', 'buka', 'tiktok', 'stuck', 'logo', 'saja', 'harus', 'copot', 'terus', 'unduh', 'tolong', 'bantu', 'kualitas', 'aplikasi', 'guna', 'nyaman', 'terima kasih']",-7,negative
Siti Nuralfiah,1,2023-11-19 16:10:11,"plis lah ya tok tok tiktok, ni aku udah hapus tiktok terus download lagi tujuannya biar ga lag terus, ehh tetep aja lag, perbaikin dong, kalo mau rating bagus baca komentar dong, tujuan diadain komentar tu buat koreksi kalo ada apa², minimal tu dibaca, banyak banget yang ngeluh kalo tiktok lag tapi masi ga digubris, RAM masi banyak, aplikasi lain padahal ga lag² gini kaya tiktok, berarti ini problem dari sananya, tolong diperbaiki dong jangan cuma diem aja.","['tolong', 'iya', 'tok', 'tok', 'tiktok', 'ini', 'sudah', 'hapus', 'tiktok', 'unduh', 'tuju', 'biar', 'tidak', 'lag', 'ehh', 'tetep', 'saja', 'lag', 'perbaikin', 'kalau', 'rating', 'bagus', 'baca', 'komentar', 'tuju', 'diadain', 'komentar', 'tu', 'koreksi', 'kalau', 'apa', 'minimal', 'tu', 'baca', 'banget', 'mengeluh', 'kalau', 'tiktok', 'lag', 'mas', 'tidak', 'gubris', 'ram', 'mas', 'aplikasi', 'tidak', 'lag', 'gin', 'kaya', 'tiktok', 'masalah', 'sana', 'tolong', 'baik', 'diem', 'saja']",-42,negative
Rika,3,2023-10-11 05:05:44,"Tiktok sekarang terasa beda banget sama yang dulu,kenapa jadi beda?,karna sering terjadi bug dan ngedownload nya lama banget,kadang pas udah mau selesai main tiktok pasti ngeleg kalo mau keluar dari aplikasinya. Jadi mohon diperbaiki,sekian terimakasih😁🙏","['tiktok', 'beda', 'banget', 'dulukenapa', 'bedakarna', 'bug', 'ngedownload', 'bangetkadang', 'pas', 'sudah', 'selesai', 'main', 'tiktok', 'lelet', 'kalau', 'aplikasi', 'mohon', 'diperbaikisekian', 'terima kasih']",4,positive
Firman Moulana,1,2023-10-10 10:46:39,"Setelah beberapa update,aplikasi ini sangat berat untuk hp yg speknya di bawah rata2,sama sekali tidak merakyat,stiap kali buka slalu penuh dengan bug,dan salalu kluar sendiri,padahal jaringan kuat,tolong segera di perbaiki.jngan sampe performanya menurun karna banyak keluhan2 dari pengguna aplikasi ini..","['updateaplikasi', 'berat', 'seluler', 'speknya', 'ratasama', 'merakyatstiap', 'kali', 'buka', 'selalu', 'penuh', 'bugdan', 'salalu', 'keluar', 'sendiripadahal', 'jaringan', 'kuattolong', 'perbaikijngan', 'sampai', 'performa', 'turun', 'karena', 'keluh', 'guna', 'aplikasi']",-14,negative
shiiva amely,3,2023-11-06 16:22:05,"tiktok sekarang suka bug di aku, video hilang lah (hitam/ ga keputar) keluar sendiri dari app, kadang juga sering loading lama padahal signal bagus. semoga kedepannya lebih nyaman lagi buat di gunain yaa.. soalnya hiburan buat aku yang sering kugunain cuma tiktok:((","['tiktok', 'suka', 'bug', 'video', 'hilang', 'hitam', 'tidak', 'putar', 'app', 'kadang', 'loading', 'sinyal', 'bagus', 'moga', 'depan', 'nyaman', 'gunain', 'yaa', 'hibur', 'kugunain', 'tiktok']",-2,negative
Rere Aja,1,2023-09-08 21:14:53,"Tolong tingkatkan lagi kapasitasnya, setelah saya update bukannya makin bagus dan makin enak di gunakan malah makin ngelag, membuat HP cepat panas, boros batre, dan terlebih lagi gak bisa di buka tiktok nya. Setelah membuka tiktok ngelag nya sampai ke aplikasi lain juga, seperti mengandung virus","['tolong', 'tingkat', 'kapasitas', 'terbaru', 'bagus', 'enak', 'lelet', 'seluler', 'cepat', 'panas', 'boros', 'baterai', 'gak', 'buka', 'tiktok', 'buka', 'tiktok', 'lelet', 'aplikasi', 'kandung', 'virus']",-6,negative
09.Fransiska Marsya Ardiani_7E,3,2023-09-22 15:24:30,"Sebenernya apk nya bagus, banyak hal positif yang bisa aku tiru dan hal baru yg bisa aku coba tapi menurutku apk nya rumayan berat. Saat aku scrool tiktok kadang terjadi bug apalagi saat aku ingin post foto/video ngelag parah si. Mungkin untuk developer bisa diperbaiki lagi. Terimakasih 🙏🏻🙏🏻","['sebenarnya', 'aplikasi', 'bagus', 'positif', 'tiru', 'coba', 'turut', 'aplikasi', 'rumayan', 'berat', 'scrool', 'tiktok', 'kadang', 'bug', 'surat', 'fotovideo', 'lelet', 'parah', 'si', 'developer', 'baik', 'terima kasih', '']",1,positive
Saikhatul Kanafah,1,2023-11-12 13:09:12,Setelah di upgrade kenapa kalo mau di buka sering lama munculnya terus kalo mau scroll ke bawah²nya lagi suka susah tiba² lag sering keluar sendiri aplikasinya padahal ram masii banyakk lebih enak di pakai yg dulu. Tolong dong di perbaiki aplikasinya di upgrade bukanya semakin baik semakin meningkat tapi malah semakin menurun ini 🙏🏻,"['meningkatkan', 'kalau', 'buka', 'muncul', 'kalau', 'scroll', 'bawah nya', 'suka', 'susah', 'tiba', 'lag', 'aplikasi', 'ram', 'masii', 'banyakk', 'enak', 'pakai', 'tolong', 'baik', 'aplikasi', 'meningkatkan', 'buka', 'tingkat', 'turun', '']",-13,negative
Irena Viranza,2,2023-10-08 19:38:38,"gajelas,kalo mau buka apl nya suka susah ngebug Mulu,udh gtu fitur repost kadang"" muncul,kadang"" ilang. pokoknya tik tok dri pertengahan bulan September sampe akhir"" ini ngebug Mulu, jdi pengen uninstall aja bawaan nya!!! udh gtu kalo belum update gabisa buka apl !!!😡😡😡😡","['gajelaskalo', 'buka', 'aplikasi', 'suka', 'susah', 'bug', 'muluudh', 'gtu', 'fitur', 'repost', 'kadang', 'munculkadang', 'hilang', 'pokok', 'tik', 'tok', 'dari', 'tengah', 'september', 'sampai', 'bug', 'melulu', 'jadi', 'ken', 'copot', 'saja', 'bawa', 'udh', 'gtu', 'kalau', 'terbaru', 'tidak bisa', 'buka', 'aplikasi', '']",-18,negative
Agus Budiyasa,1,2023-11-20 21:52:29,"Ini tiktok kenpa sih? Kok setiap liat konten orang yang Isinya foto"" malah keliatan lambang tiktok aja dan suara dri lagunya juga hilang tapi kalo liat konten lain selain foto normal. Terus setiap bukak tiktok lambang tiktoknya lama bnget muncul sekitar 30dtk/1 menit baru keliatan konten orng.... TOLONG PERBAIKI SISTEM KERJA TIKTOK!!!","['tiktok', 'kenpa', 'sih', 'lihat', 'konten', 'orang', 'isi', 'foto', 'lihat', 'lambang', 'tiktok', 'saja', 'suara', 'dari', 'lagu', 'hilang', 'kalau', 'lihat', 'konten', 'foto', 'normal', 'buka', 'tiktok', 'lambang', 'tiktoknya', 'banget', 'muncul', 'dtk', 'menit', 'lihat', 'konten', 'orang', 'tolong', 'baik', 'sistem', 'kerja', 'tiktok']",-1,negative
Fendi Arjuna Rifaldo,1,2023-10-08 12:29:04,"Saya kecewa sama ini aplikasi. Setiap posting vidio ke tik tok pasti blur/buruk, padahal vidio aslinya sudah sangat stabil/HD, tapi kenapa setiap di post ke tik tok jadi blur/buruk. Tolong kerjasamanya di perbaiki terimakasih🙏","['kecewa', 'aplikasi', 'posting', 'vidio', 'tik', 'tok', 'blurburuk', 'vidio', 'asli', 'stabilhd', 'surat', 'tik', 'tok', 'blurburuk', 'tolong', 'kerjasamanya', 'baik', 'terima kasih']",3,positive
Fans_ EDDSWORLD,4,2023-11-05 09:35:56,"Tiktok sekarang mengalami banyak bug seperti, video yang diputar sangat lambat dan tidak sesuai dengan suara videonya, membuat penonton tidak nyaman, terkadang aplikasi tidak dapt dibuka, tolong perbaiki bug ini!!","['tiktok', 'alami', 'bug', 'video', 'putar', 'lambat', 'sesuai', 'suara', 'video', 'tonton', 'nyaman', 'terkadang', 'aplikasi', 'dapt', 'buka', 'tolong', 'baik', 'bug']",1,positive
Ayra Putri,1,2023-11-20 05:17:38,"TikTok kenapa sih? Pas upload video suka nge-lag di angka 60%, dan itu sampe kapan pun enggak akan ter-upload. Udah gitu enggak bisa dibatalin lagi. Kalau nyoba upload lagi sampe berapa kali pun, yang ada ikut nge-lag juga dan keliatannya jadi bertumpuk kayak kartu. Matiin data pun enggak akan langsung gagalin upload-an itu, mesti nunggu agak lama. Aku udah berkali-kali ngalamin hal ini. Mohon untuk segera diperbaiki, ya. Kami para pengguna juga modal kuota, jadi tolong berikan kenyamanan.","['tiktok', 'sih', 'pas', 'upload', 'video', 'suka', 'lelet', 'angka', 'sampai', 'terupload', 'sudah', 'gitu', 'dibatalin', 'coba', 'upload', 'sampai', 'kali', 'lelet', 'lihat', 'tumpuk', 'kayak', 'kartu', 'mati', 'data', 'langsung', 'gagalin', 'uploadan', 'mesti', 'nunggu', 'sudah', 'berkalikali', 'mengalami', 'mohon', 'baik', 'iya', 'guna', 'modal', 'kuota', 'tolong', 'nyaman']",-1,negative
keisha nuri,1,2023-09-22 14:34:49,"Tak kira tiktok'ku sendiri yang sering error' ternyata temen² jg banyak yang ngalamin, tiktok gak bisa disa , cuma terlihat logo tiktok saja, sudah di update tapi tetap saja sama, harus di download ulang, dan sudah berkali² terjadi,,tolong di perhatikan dan di perbaiki sistemnya, sebagai konten kreator hal ini membuat sangat tidak nyaman 🙏","['tiktokku', 'error', 'teman', 'juga', 'mengalami', 'tiktok', 'gak', 'disa', 'logo', 'tiktok', 'terbaru', 'unduh', 'ulang', 'kali', 'terjaditolong', 'perhati', 'baik', 'sistem', 'konten', 'kreator', 'nyaman', '']",1,positive
Febrian Maulan,1,2023-11-01 15:42:54,"Tik tok skrg sering bgt bug jika dibuka yang menyebabkan hp sy jadi restart sendiri, pdhl kapasitas ram masih banyak, sehingga sy harus uninstall tik tok dan download ulang lgi. Tolong ya, ini menganggu sekali bagi pengguna. Bukannya malah baik setelah di upgrade tapi malah bikin jengkel. Mohon diperbaiki","['tik', 'tok', 'sekarang', 'banget', 'bug', 'buka', 'sebab', 'seluler', 'saya', 'restart', 'padahal', 'kapasitas', 'ram', 'saya', 'copot', 'tik', 'tok', 'unduh', 'ulang', 'lagi', 'tolong', 'iya', 'ganggu', 'guna', 'meningkatkan', 'bikin', 'jengkel', 'mohon', 'baik']",-14,negative
navila belle,2,2023-10-19 07:13:14,"subtitle terjemah di tiktok sekarang ilang, dan harus di aktifkan secara manual, honestly, para pengguna tiktok lebih suka tiktok yang subtitle terjemah-nya seperti dulu, jangan yang seperti sekarang, yang harus di aktifkan secara manual, walaupun itu simple cara aktifkan-nya, tapi itu ribet. please tiktok, jangan terlalu banyak update, kalau mau sekaligus saja, dari pada sedikit sedikit, malah kayak ribet banget.","['subtitle', 'terjemah', 'tiktok', 'hilang', 'aktif', 'manual', 'honestly', 'guna', 'tiktok', 'suka', 'tiktok', 'subtitle', 'terjemah', 'aktif', 'manual', 'sederhana', 'aktif', 'ribet', 'tolong', 'tiktok', 'terbaru', 'kayak', 'ribet', 'banget']",-12,negative
S.I Kolondam,1,2023-09-23 07:50:12,"Saya pengguna apk ini dari thn 2018. Abis upgrade, setelah buka apk tiktok hp jadi lemot, padahal hp RAM 6GB. Buka tiktok saja sampe 5,4 GB. Terus membuat apk yg lain jadi lemot juga. Hp nge-freeze sampe berjam2. Kirain hp-nya yg rusak ternyata aplikasinya yg makan ram sampe segitu parahnya 😖","['guna', 'aplikasi', 'tahun', 'habis', 'meningkatkan', 'buka', 'aplikasi', 'tiktok', 'seluler', 'lot', 'seluler', 'ram', 'gb', 'buka', 'tiktok', 'sampai', 'gb', 'aplikasi', 'lot', 'seluler', 'ngefreeze', 'sampai', 'jam', 'kira', 'hpnya', 'rusak', 'aplikasi', 'makan', 'ram', 'sampai', 'segitu', 'parah', '']",-40,negative
Diah Yuliani,5,2023-11-21 18:07:22,"Tik tok sangat bagus dan menarik dan sangat mudah jika kita mau mencari berita,kejadian dan tempat2 wisata yang bagus..pertahankan yaa.. Kalau bisa dibuka lagi yaa TikTok shop nya agar lebih mudah untuk beli barang2 ...makasih","['tik', 'tok', 'bagus', 'tarik', 'mudah', 'cari', 'beritakejadian', 'wisata', 'baguspertahankan', 'yaa', 'buka', 'yaa', 'tiktok', 'shop', 'mudah', 'beli', 'barang', 'terima kasih']",7,positive
Bambang Yunianto,1,2023-10-15 07:12:21,"Saya kira hp saya yang sudah usang tp ternyata banyak ulasan teman² mengalami hal yang sama, tiba² ngelag yang tadi nya ram nya sisa 2 gb an ketika buka tiktok langsung habis dan hp nge freeze. Terlalu banyak makan ram. Saya ketika ingin buka tiktok ngebela2in utk uninstall dlu baru download lg. Biar gak stuck di logo tiktok. Hmmm Tiktok ini sudah mendunia, jadi fikirkan lah baik2 apa saja yang ingin di upgrade. Jangan malah menjadi aplikasi yang berat yang tidak ramah di berbagai ponsel.","['seluler', 'usang', 'tapi', 'ulas', 'teman', 'alami', 'tiba', 'lelet', 'ram', 'sisa', 'gb', 'an', 'buka', 'tiktok', 'langsung', 'habis', 'seluler', 'nge', 'freeze', 'makan', 'ram', 'buka', 'tiktok', 'ngebelain', 'untuk', 'copot', 'dulu', 'unduh', 'lagi', 'biar', 'gak', 'stuck', 'logo', 'tiktok', 'hmmm', 'tiktok', 'dunia', 'fikirkan', 'meningkatkan', 'aplikasi', 'berat', 'ramah', 'ponsel']",-17,negative
Zahra Cattleya Sahroni,1,2023-10-31 14:31:25,"Kenapa setelah di update malah gak bisa di buka tiktok nya? Cuman logo nya doang yang muncul. Terus pasti hp langsung lag klo udh kyk gitu. Cape banget harus hapus download hapus download terus setiap mau nonton tiktok. Padahal memo masih cukup, ram nya juga masih ok, tapi selalu aja gini. 😔","['terbaru', 'gak', 'buka', 'tiktok', 'cuman', 'logo', 'doang', 'muncul', 'seluler', 'langsung', 'lag', 'kalau', 'udh', 'seperti', 'gitu', 'capek', 'banget', 'hapus', 'unduh', 'hapus', 'unduh', 'nonton', 'tiktok', 'memo', 'ram', 'ok', 'saja', 'gin', '']",-2,negative
