userName,score,at,content,clean_teks,polarity_score,polarity
Saputra Devia,1,2023-10-30 09:42:13,"Maaf, tolong perbaiki bug dari tiktok, yaitu sulit untuk buka aplikasinya, bahkan tidak bisa di pakai, harus di uninstal dulu trus download lagi baru bisa, tapi tetep kalo sudah beberapa hari bugnya terjadi lagi, tlong di perbaiki, demi kebaikan develover sama penguna, agar pihak develover tidak dapat rating rendah, dan pengguna tidak menyesal karna telah menghabiskan kuota internet, untuk download tiktok ini, itu saja terima kasih, + kalo bisa kirim vidio, saya punya buktibukti bugnya","['maaf', '', 'baik', 'bug', '', 'tiktok', '', 'sulit', '', 'buka', 'aplikasi', 'bahkan', '', '', '', 'pakai', '', '', 'copot', 'dulu', 'terus', 'unduh', '', 'baru', '', '', 'tetep', 'kalau', '', 'beberapa', 'hari', 'bugnya', 'jadi', '', 'tolong', '', 'baik', '', 'baik', 'develover', 'sama', 'konsumen', '', 'pihak', 'develover', '', '', 'rating', 'rendah', '', 'guna', '', 'sesal', 'karena', '', 'habis', 'kuota', 'internet', '', 'unduh', 'tiktok', '', '', '', 'terima', 'kasih', 'kalau', '', 'kirim', 'vidio', '', 'punya', 'buktibukti', 'bugnya']",-10,negative
Jannatun Ni'mah,2,2023-09-20 20:36:04,"Dear tiktok, saya sebagai pengguna tiktok sangat terbantu dalam memahami dunia konten digital yang sedang tren dan hangat diperbincangkan, namun untuk kualitas dari performa aplikasinya kadang tidak sesuai dengan yang diharapkan,padahal sudah diupdate 1 minggu lalu tetapi ketika masuk livestreaming orang sering ngebug dan terkeluar sendiri dari aplikasinya. Saya harap untuk bisa dioptimalkan lagi kedepannya. Terimakasih.","['terhormat', 'tiktok', '', '', 'guna', 'tiktok', 'sangat', 'bantu', '', 'paham', 'dunia', 'konten', 'digital', '', 'sedang', 'trend', '', 'hangat', 'bincang', '', '', 'kualitas', '', 'performa', 'aplikasi', 'kadang', '', 'sesuai', '', '', 'diharapkanpadahal', '', 'terbaru', 'minggu', 'lalu', '', '', 'masuk', 'livestreaming', 'orang', 'sering', 'bug', '', 'keluar', 'sendiri', '', 'aplikasi', '', 'harap', '', '', 'optimal', '', 'depan', 'terima kasih']",11,positive
Aji Sepuh,1,2023-09-25 11:57:01,"Setelah update beberapa waktu yang lalu, TikTok semakin berat untuk di jalankan. Hp saya RAM tersisan 3.6gb, belum juga masuk ke aplikasi TikTok, TikTok ini sudah menggunakan 3gb lebih RAM saya. Itupun aplikasinya belum terbuka/bisa saya gunakan. Jadi tolong diperbaiki, sekiranya ada sesuatu yang tidak perlu/tidak penting"" banget ada di TikTok, sebiaknya dihilangkan saja.","['', 'terbaru', 'beberapa', 'waktu', '', 'lalu', 'tiktok', 'makin', 'berat', '', '', 'jalan', 'seluler', '', 'ram', 'sis', 'gb', '', '', 'masuk', '', 'aplikasi', 'tiktok', 'tiktok', '', '', 'guna', 'gb', 'lebih', 'ram', '', 'itu', 'aplikasi', '', 'terbukabisa', '', 'guna', 'jadi', '', 'baik', 'sekira', '', '', '', '', 'perlutidak', 'penting', 'banget', '', '', 'tiktok', 'biak', 'hilang', '']",-2,negative
Aku Cantikkan,1,2023-11-11 19:21:47,Ketika melihat postingan orang lain foto sering hitam (foto tidak terlihat hanya gambar hitam saja dengan lambang tiktok)... Aplikasi kadang keluar sendiri.. banyak bug.. konten-konten banyak yang tidak bermanfaat..,"['', 'lihat', 'postingan', 'orang', '', 'foto', 'sering', 'hitam', 'foto', '', 'lihat', '', 'gambar', 'hitam', '', '', 'lambang', 'tiktok', 'aplikasi', 'kadang', 'keluar', 'sendiri', 'banyak', 'bug', 'kontenkonten', 'banyak', '', '', 'manfaat']",1,positive
Irma Wiji astuti,3,2023-09-24 22:53:57,"TOLONG DI PERBAIKI DAN D PERHATIKAN . Akhir2 ini tiktok sering update. Juga kadang error .g bisa kebuka lah. Cuma muncul logo kadang tidak menanggapi hal tersebut mempengaruhi aplikasi lain jadi ngeleg. Ngebug. Patah2 lelet ,sudah banyak yg mengeluh jadi mohon buat management tiktok tolong di tindak lanjuti","['', '', 'baik', '', 'di', 'perhati', 'akhir', '', 'tiktok', 'sering', 'terbaru', '', 'kadang', 'error', 'g', '', 'buka', 'lah', 'cuma', 'muncul', 'logo', 'kadang', '', 'tanggap', '', 'sebut', 'pengaruh', 'aplikasi', '', 'jadi', 'lelet', 'bug', 'patah', 'lambat', '', 'banyak', 'yang', 'keluh', 'jadi', 'mohon', 'buat', 'management', 'tiktok', '', '', 'tindak', 'lanjut']",-7,negative
Jefry Agustinus Alexander,1,2023-10-29 00:13:20,"fitur unggah Stories sering hilang. Muncul hanya ketika memulai kembali dari awal, seperti misalnya hapus cache dan memory, juga setelah meng-instal ulang aplikasi. Tolong perbaiki fitur storie yang sering tidak dapat digunakan tersebut demi kenyamanan pengguna dan variasi pengunggahan konten","['fitur', 'unggah', 'stories', 'sering', 'hilang', 'muncul', '', '', 'mulai', '', '', 'awal', '', 'misal', 'hapus', 'cache', '', 'memory', '', '', 'menginstal', 'ulang', 'aplikasi', '', 'baik', 'fitur', 'storie', '', 'sering', '', '', 'guna', 'sebut', '', 'nyaman', 'guna', '', 'variasi', 'unggah', 'konten']",5,positive
Kayan P,1,2023-11-22 18:24:25,"Bintang satu sj Tiktok kok jd begini,macet-macetan,kadang TDK ada gambar,pindah aplikasi malah suara Tiktok yg muncul,bikin jengkel Tiktok sekarang teramat sangat mengecewakan.,tak kira hp yg rusak ternyata tiktoknya yg bermasalah.","['bintang', 'satu', 'saja', 'tiktok', 'kok', 'jadi', 'beginimacetmacetankadang', 'tidak', '', 'gambarpindah', 'aplikasi', 'bahkan', 'suara', 'tiktok', 'yang', 'munculbikin', 'jengkel', 'tiktok', 'sekarang', 'amat', 'sangat', 'mengecewakantak', 'kira', 'seluler', 'yang', 'rusak', 'nyata', 'tiktoknya', 'yang', 'masalah']",-30,negative
yuni astika,1,2023-10-29 03:30:46,"Tiktok skrng , smakin di upgrade smakin menurun kualitas aplikasi nya . Sring nge bug , aplagi pas di awal buka aplikasi ! Sngt memakan waktu utk mengklik opsi apapun di dlm nya. Pdhal ram masih banyak . Kdng kalau mau buka Tiktok, cuma stuck di logo nya aja , yg mengharuskan uninstall trus di download lagi . Tolong dibantu kualitas aplikasi nya , supaya pengguna nyaman . Terimakasih","['tiktok', 'sekarang', 'semakin', '', 'meningkatkan', 'semakin', 'turun', 'kualitas', 'aplikasi', 'nya', 'sring', 'nge', 'bug', 'aplagi', 'pas', '', 'awal', 'buka', 'aplikasi', 'sangat', 'makan', 'waktu', 'untuk', 'klik', 'opsi', 'apa', '', 'dlm', 'nya', 'padahal', 'ram', '', 'banyak', 'kdng', 'kalau', 'mau', 'buka', 'tiktok', 'cuma', 'stuck', '', 'logo', 'nya', 'saja', 'yang', 'harus', 'copot', 'terus', '', 'unduh', '', '', 'bantu', 'kualitas', 'aplikasi', 'nya', '', 'guna', 'nyaman', 'terima kasih']",-10,negative
Rika,3,2023-10-11 05:05:44,"Tiktok sekarang terasa beda banget sama yang dulu,kenapa jadi beda?,karna sering terjadi bug dan ngedownload nya lama banget,kadang pas udah mau selesai main tiktok pasti ngeleg kalo mau keluar dari aplikasinya. Jadi mohon diperbaiki,sekian terimakasih😁🙏","['tiktok', 'sekarang', 'asa', 'beda', 'banget', 'sama', '', 'dulukenapa', 'jadi', 'bedakarna', 'sering', 'jadi', 'bug', '', 'ngedownload', 'nya', 'lama', 'bangetkadang', 'pas', 'sudah', 'mau', 'selesai', 'main', 'tiktok', '', 'lelet', 'kalau', 'mau', 'keluar', '', 'aplikasi', 'jadi', 'mohon', 'diperbaikisekian', 'terima kasih']",9,positive
Firman Moulana,1,2023-10-10 10:46:39,"Setelah beberapa update,aplikasi ini sangat berat untuk hp yg speknya di bawah rata2,sama sekali tidak merakyat,stiap kali buka slalu penuh dengan bug,dan salalu kluar sendiri,padahal jaringan kuat,tolong segera di perbaiki.jngan sampe performanya menurun karna banyak keluhan2 dari pengguna aplikasi ini..","['', 'beberapa', 'updateaplikasi', '', 'sangat', 'berat', '', 'seluler', 'yang', 'speknya', '', 'bawah', 'ratasama', 'sekali', '', 'merakyatstiap', 'kali', 'buka', 'selalu', 'penuh', '', 'bugdan', 'salalu', 'keluar', 'sendiripadahal', 'jaringan', 'kuattolong', 'segera', '', 'perbaikijngan', 'sampai', 'performa', 'turun', 'karena', 'banyak', 'keluh', '', 'guna', 'aplikasi', '']",-22,negative
shiiva amely,3,2023-11-06 16:22:05,"tiktok sekarang suka bug di aku, video hilang lah (hitam/ ga keputar) keluar sendiri dari app, kadang juga sering loading lama padahal signal bagus. semoga kedepannya lebih nyaman lagi buat di gunain yaa.. soalnya hiburan buat aku yang sering kugunain cuma tiktok:((","['tiktok', 'sekarang', 'suka', 'bug', '', 'aku', 'video', 'hilang', 'lah', 'hitam', 'tidak', 'putar', 'keluar', 'sendiri', '', 'app', 'kadang', '', 'sering', 'loading', 'lama', 'padahal', 'sinyal', 'bagus', 'moga', 'depan', 'lebih', 'nyaman', '', 'buat', '', 'gunain', 'yaa', 'soal', 'hibur', 'buat', 'aku', '', 'sering', 'kugunain', 'cuma', 'tiktok']",-5,negative
Rere Aja,1,2023-09-08 21:14:53,"Tolong tingkatkan lagi kapasitasnya, setelah saya update bukannya makin bagus dan makin enak di gunakan malah makin ngelag, membuat HP cepat panas, boros batre, dan terlebih lagi gak bisa di buka tiktok nya. Setelah membuka tiktok ngelag nya sampai ke aplikasi lain juga, seperti mengandung virus","['', 'tingkat', '', 'kapasitas', '', '', 'terbaru', 'bukan', 'makin', 'bagus', '', 'makin', 'enak', '', 'guna', 'bahkan', 'makin', 'lelet', 'buat', 'seluler', 'cepat', 'panas', 'boros', 'baterai', '', 'lebih', '', 'gak', '', '', 'buka', 'tiktok', 'nya', '', 'buka', 'tiktok', 'lelet', 'nya', '', '', 'aplikasi', '', '', '', 'kandung', 'virus']",2,positive
09.Fransiska Marsya Ardiani_7E,3,2023-09-22 15:24:30,"Sebenernya apk nya bagus, banyak hal positif yang bisa aku tiru dan hal baru yg bisa aku coba tapi menurutku apk nya rumayan berat. Saat aku scrool tiktok kadang terjadi bug apalagi saat aku ingin post foto/video ngelag parah si. Mungkin untuk developer bisa diperbaiki lagi. Terimakasih 🙏🏻🙏🏻","['sebenarnya', 'aplikasi', 'nya', 'bagus', 'banyak', '', 'positif', '', '', 'aku', 'tiru', '', '', 'baru', 'yang', '', 'aku', 'coba', '', 'turut', 'aplikasi', 'nya', 'rumayan', 'berat', '', 'aku', 'scrool', 'tiktok', 'kadang', 'jadi', 'bug', '', '', 'aku', '', 'surat', 'fotovideo', 'lelet', 'parah', 'si', 'mungkin', '', 'developer', '', 'baik', '', 'terima kasih']",-2,negative
Mayza Gie,1,2023-11-19 14:23:57,"Fitur ""search"" di filter hilang, mode foto juga hilang, terus beberapa filter ga bisa dipake. Pokoknya banyak jeleknya setelah di-update, seharusnya makin bagus ini malah makin down","['fitur', 'search', '', 'filter', 'hilang', 'mode', 'foto', '', 'hilang', 'terus', 'beberapa', 'filter', 'tidak', '', 'dipake', 'pokok', 'banyak', 'jelek', '', 'terbaru', '', 'makin', 'bagus', '', 'bahkan', 'makin', 'bawah']",-3,negative
Saikhatul Kanafah,1,2023-11-12 13:09:12,Setelah di upgrade kenapa kalo mau di buka sering lama munculnya terus kalo mau scroll ke bawah²nya lagi suka susah tiba² lag sering keluar sendiri aplikasinya padahal ram masii banyakk lebih enak di pakai yg dulu. Tolong dong di perbaiki aplikasinya di upgrade bukanya semakin baik semakin meningkat tapi malah semakin menurun ini 🙏🏻,"['', '', 'meningkatkan', '', 'kalau', 'mau', '', 'buka', 'sering', 'lama', 'muncul', 'terus', 'kalau', 'mau', 'scroll', '', 'bawah nya', '', 'suka', 'susah', 'tiba', 'lag', 'sering', 'keluar', 'sendiri', 'aplikasi', 'padahal', 'ram', 'masii', 'banyakk', 'lebih', 'enak', '', 'pakai', 'yang', 'dulu', '', 'dong', '', 'baik', 'aplikasi', '', 'meningkatkan', 'buka', 'makin', 'baik', 'makin', 'tingkat', '', 'bahkan', 'makin', 'turun', '']",-3,negative
Siti Nuralfiah,1,2023-11-19 16:10:11,"plis lah ya tok tok tiktok, ni aku udah hapus tiktok terus download lagi tujuannya biar ga lag terus, ehh tetep aja lag, perbaikin dong, kalo mau rating bagus baca komentar dong, tujuan diadain komentar tu buat koreksi kalo ada apa², minimal tu dibaca, banyak banget yang ngeluh kalo tiktok lag tapi masi ga digubris, RAM masi banyak, aplikasi lain padahal ga lag² gini kaya tiktok, berarti ini problem dari sananya, tolong diperbaiki dong jangan cuma diem aja.","['tolong', 'lah', '', 'tok', 'tok', 'tiktok', 'ini', 'aku', 'sudah', 'hapus', 'tiktok', 'terus', 'unduh', '', 'tuju', 'biar', 'tidak', 'lag', 'terus', 'ehh', 'tetep', 'saja', 'lag', 'perbaikin', 'dong', 'kalau', 'mau', 'rating', 'bagus', 'baca', 'komentar', 'dong', 'tuju', 'diadain', 'komentar', 'tu', 'buat', 'koreksi', 'kalau', '', 'apa', 'minimal', 'tu', 'baca', 'banyak', 'banget', '', 'mengeluh', 'kalau', 'tiktok', 'lag', '', 'mas', 'tidak', 'gubris', 'ram', 'mas', 'banyak', 'aplikasi', '', 'padahal', 'tidak', 'lag', 'gin', 'kaya', 'tiktok', 'arti', '', 'masalah', '', 'sana', '', 'baik', 'dong', 'jangan', 'cuma', 'diem', 'saja']",-39,negative
Thania putri Izzati,4,2023-11-21 22:46:47,"karena setiap habis di update pasti ga bisa di buka tiktok nya kalo di aku harus tinggu 1 hari baru bisa di buka kalo habis update, jadi mohon kalo habis di update bisa langsung masuk ga perlu nunggu' lagi, kadang' kalo tidak bisa aku harus menghapus tiktok nya kan sayang jadi ya usahakan bisa kalo sudah di update langsung masuk ke tiktok nya. sekian terimakasii dari saya semoga bermanfaat 🙆🏻‍♀️","['', '', 'habis', '', 'terbaru', '', 'tidak', '', '', 'buka', 'tiktok', 'nya', 'kalau', '', 'aku', '', 'tinggu', 'hari', 'baru', '', '', 'buka', 'kalau', 'habis', 'terbaru', 'jadi', 'mohon', 'kalau', 'habis', '', 'terbaru', '', 'langsung', 'masuk', 'tidak', 'perlu', 'nunggu', '', 'kadang', 'kalau', '', '', 'aku', '', 'hapus', 'tiktok', 'nya', 'kan', 'sayang', 'jadi', '', 'usaha', '', 'kalau', '', '', 'terbaru', 'langsung', 'masuk', '', 'tiktok', 'nya', 'sekian', 'terimakasii', '', '', 'moga', 'manfaat']",13,positive
Irena Viranza,2,2023-10-08 19:38:38,"gajelas,kalo mau buka apl nya suka susah ngebug Mulu,udh gtu fitur repost kadang"" muncul,kadang"" ilang. pokoknya tik tok dri pertengahan bulan September sampe akhir"" ini ngebug Mulu, jdi pengen uninstall aja bawaan nya!!! udh gtu kalo belum update gabisa buka apl !!!😡😡😡😡","['gajelaskalo', 'mau', 'buka', 'aplikasi', 'nya', 'suka', 'susah', 'bug', 'muluudh', 'gtu', 'fitur', 'repost', 'kadang', 'munculkadang', 'hilang', 'pokok', 'tik', 'tok', 'dari', 'tengah', 'bulan', 'september', 'sampai', 'akhir', '', 'bug', 'melulu', 'jadi', 'ken', 'copot', 'saja', 'bawa', 'nya', 'udh', 'gtu', 'kalau', '', 'terbaru', 'tidak bisa', 'buka', 'aplikasi']",-15,negative
Fendi Arjuna Rifaldo,1,2023-10-08 12:29:04,"Saya kecewa sama ini aplikasi. Setiap posting vidio ke tik tok pasti blur/buruk, padahal vidio aslinya sudah sangat stabil/HD, tapi kenapa setiap di post ke tik tok jadi blur/buruk. Tolong kerjasamanya di perbaiki terimakasih🙏","['', 'kecewa', 'sama', '', 'aplikasi', '', 'posting', 'vidio', '', 'tik', 'tok', '', 'blurburuk', 'padahal', 'vidio', 'asli', '', 'sangat', 'stabilhd', '', '', '', '', 'surat', '', 'tik', 'tok', 'jadi', 'blurburuk', '', 'kerjasamanya', '', 'baik', 'terima kasih']",5,positive
Fans_ EDDSWORLD,4,2023-11-05 09:35:56,"Tiktok sekarang mengalami banyak bug seperti, video yang diputar sangat lambat dan tidak sesuai dengan suara videonya, membuat penonton tidak nyaman, terkadang aplikasi tidak dapt dibuka, tolong perbaiki bug ini!!","['tiktok', 'sekarang', 'alami', 'banyak', 'bug', '', 'video', '', 'putar', 'sangat', 'lambat', '', '', 'sesuai', '', 'suara', 'video', 'buat', 'tonton', '', 'nyaman', 'terkadang', 'aplikasi', '', 'dapt', 'buka', '', 'baik', 'bug', '']",2,positive
Ayra Putri,1,2023-11-20 05:17:38,"TikTok kenapa sih? Pas upload video suka nge-lag di angka 60%, dan itu sampe kapan pun enggak akan ter-upload. Udah gitu enggak bisa dibatalin lagi. Kalau nyoba upload lagi sampe berapa kali pun, yang ada ikut nge-lag juga dan keliatannya jadi bertumpuk kayak kartu. Matiin data pun enggak akan langsung gagalin upload-an itu, mesti nunggu agak lama. Aku udah berkali-kali ngalamin hal ini. Mohon untuk segera diperbaiki, ya. Kami para pengguna juga modal kuota, jadi tolong berikan kenyamanan.","['tiktok', '', 'sih', 'pas', 'upload', 'video', 'suka', 'lelet', '', 'angka', '', '', 'sampai', 'kapan', '', 'tidak', '', 'terupload', 'sudah', 'gitu', 'tidak', '', 'dibatalin', '', 'kalau', 'coba', 'upload', '', 'sampai', 'berapa', 'kali', '', '', '', 'ikut', 'lelet', '', '', 'lihat', 'jadi', 'tumpuk', 'kayak', 'kartu', 'mati', 'data', '', 'tidak', '', 'langsung', 'gagalin', 'uploadan', '', 'mesti', 'nunggu', '', 'lama', 'aku', 'sudah', 'berkalikali', 'mengalami', '', '', 'mohon', '', 'segera', 'baik', '', '', '', 'guna', '', 'modal', 'kuota', 'jadi', '', 'ikan', 'nyaman']",-23,negative
